Date,Production_Line,Product,Target_Tonnes,Actual_Tonnes,Downtime_Hours,Downtime_Cause,Shift,Quality_Grade
2025-07-01,Line 1,Potassium Chloride Standard,500,485,1.5,Conveyor Belt Adjustment,Morning,A
2025-07-01,Line 2,Potassium Chloride Premium,300,310,0.0,None,Morning,A+
2025-07-01,Line 1,Potassium Chloride Standard,500,470,2.0,Crusher Feed Blockage,Evening,A
2025-07-01,Line 2,Potassium Chloride Premium,300,280,1.0,Crystallizer Temperature Variance,Evening,A
2025-07-02,Line 1,Potassium Chloride Standard,500,495,0.5,Scheduled Lubrication,Morning,A
2025-07-02,Line 2,Potassium Chloride Premium,300,305,0.0,None,Morning,A+
2025-07-02,Line 1,Potassium Chloride Standard,500,460,3.0,Motor Overheating,Evening,B+
2025-07-02,Line 2,Potassium Chloride Premium,300,290,0.5,Packaging Machine Jam,Evening,A
2025-07-03,Line 1,Potassium Chloride Standard,500,490,1.0,Belt Alignment,Morning,A
2025-07-03,Line 2,Potassium Chloride Premium,300,275,2.0,Pump Seal Failure,Morning,A
2025-07-03,Line 1,Potassium Chloride Standard,500,480,1.5,Screen Mesh Blockage,Evening,A
2025-07-03,Line 2,Potassium Chloride Premium,300,300,0.5,Electrical Trip,Evening,A
2025-07-04,Line 1,Potassium Chloride Standard,500,200,6.0,Major Crusher Maintenance,Morning,B
2025-07-04,Line 2,Potassium Chloride Premium,300,310,0.0,None,Morning,A+
2025-07-04,Line 1,Potassium Chloride Standard,500,450,2.5,Post-Maintenance Calibration,Evening,A
2025-07-04,Line 2,Potassium Chloride Premium,300,295,0.5,Power Fluctuation,Evening,A
2025-07-05,Line 1,Potassium Chloride Standard,500,500,0.0,None,Morning,A+
2025-07-05,Line 2,Potassium Chloride Premium,300,290,1.0,Brine Quality Variation,Morning,B+
2025-07-05,Line 1,Potassium Chloride Standard,500,488,0.5,Conveyor Roller Replacement,Evening,A
2025-07-05,Line 2,Potassium Chloride Premium,300,285,1.5,Crystallizer Scaling,Evening,A
2025-07-06,Line 1,Potassium Chloride Standard,500,475,1.5,Heat-Related Slowdown,Morning,A
2025-07-06,Line 2,Potassium Chloride Premium,300,260,2.5,Heat-Related Slowdown,Morning,B+
