Work_Order_ID,Date,Equipment_ID,Equipment_Name,Location,Maintenance_Type,Description,Duration_Hours,Cost_JOD,Technician
WO-2025-001,2025-01-05,P-301,Brine Transfer Pump,Building A,Corrective,Mechanical seal replacement due to leak detected during routine rounds,4.5,850.00,Ahmad Hassan
WO-2025-002,2025-01-08,C-201,Primary Crusher,Outdoor Area,Preventive,Monthly inspection - jaw plate wear measurement and lubrication,3.0,120.00,Omar Khalil
WO-2025-003,2025-01-12,B-105,Packaging Conveyor,Building B,Corrective,Belt replacement after slip detection alarm triggered repeatedly,6.0,680.00,Yousef Nasser
WO-2025-004,2025-01-15,M-102,Crystallizer Motor 30kW,Building A,Preventive,Quarterly vibration analysis and bearing temperature check,2.0,80.00,Ahmad Hassan
WO-2025-005,2025-01-20,V-401,Control Valve Brine,Building A,Corrective,Actuator failure - valve stuck in closed position. Replaced actuator.,5.0,2200.00,Sami Tariq
WO-2025-006,2025-01-25,CB-102,Conveyor Belt Main,Outdoor Area,Corrective,Emergency belt splice after tear detected by operator,8.0,1500.00,Omar Khalil
WO-2025-007,2025-02-01,P-301,Brine Transfer Pump,Building A,Preventive,Monthly vibration check and oil sample analysis,1.5,45.00,Ahmad Hassan
WO-2025-008,2025-02-05,E-201,Heat Exchanger Brine,Building A,Preventive,Annual tube bundle inspection and cleaning,12.0,350.00,Yousef Nasser
WO-2025-009,2025-02-10,C-201,Primary Crusher,Outdoor Area,Corrective,Jaw plate replacement - worn beyond tolerance limit,16.0,4800.00,Omar Khalil
WO-2025-010,2025-02-14,AG-101,Agitator Crystallizer,Building A,Corrective,Unusual noise from gearbox. Inspection revealed worn gear teeth. Gearbox rebuild.,24.0,6500.00,Sami Tariq
WO-2025-011,2025-02-20,P-302,Acid Dosing Pump,Building C,Preventive,Diaphragm inspection and calibration check,2.0,65.00,Ahmad Hassan
