Date,Injury_Type,Location,Shift,Root_Cause,Severity,Incident_Description
2021-01-15,Slip/Fall,Building A - Crystallization,Morning,Wet Floor,Minor,Worker slipped on wet floor near crystallization tank. No spill containment mat was in place. Minor bruise on left arm.
2021-02-03,Chemical Burn,Building C - Acid Storage,Night,PPE Violation,Moderate,Technician handling concentrated acid without proper gloves. Burn on right hand. Emergency shower used immediately.
2021-02-20,Struck By Object,Outdoor - Conveyor Area,Evening,Loose Equipment,Minor,Loose bolt fell from overhead conveyor structure during maintenance. Hit worker's hard hat. No injury but near-miss classified as incident.
2021-03-11,Slip/Fall,Building B - Packaging,Morning,Housekeeping,Minor,Spilled potash granules on floor caused worker to slip. Twisted ankle. Area was not cleaned after previous shift.
2021-04-05,Heat Exhaustion,Outdoor - Loading Dock,Morning,Environmental,Moderate,Loader operator collapsed due to heat exposure. Temperature was 42C. Water station was 200m away. Transported to clinic.
2021-04-18,Caught In Machine,Building A - Crusher,Night,Lockout Failure,Serious,Operator's sleeve caught in crusher feed mechanism. Machine was not properly locked out. Arm laceration requiring stitches.
2021-05-02,Chemical Exposure,Building C - Brine Pools,Evening,Ventilation Failure,Moderate,Three workers reported dizziness near brine evaporation pools. Ventilation system had failed 2 hours prior. No alarm triggered.
2021-05-30,Slip/Fall,Building A - Crystallization,Morning,Wet Floor,Minor,Water leak from pipe joint created puddle near walkway. Worker slipped carrying tools. Minor back strain.
2021-06-14,Vehicle Accident,Outdoor - Haul Road,Morning,Speed Violation,Serious,Dump truck rear-ended water tanker on haul road. Driver was speeding in construction zone. Both vehicles damaged. Driver bruised ribs.
2021-07-01,Heat Exhaustion,Outdoor - Solar Ponds,Morning,Environmental,Moderate,Two workers fainted during routine inspection of solar evaporation ponds. Midday temperature exceeded 45C. Rest breaks were not enforced.
2021-07-22,Electrical Shock,Building B - Motor Room,Evening,Faulty Wiring,Serious,Electrician received shock while inspecting motor control panel. Ground fault protection had been bypassed during previous repair.
2021-08-09,Slip/Fall,Building A - Crystallization,Night,Wet Floor,Minor,Condensation buildup on metal stairs near crystallization unit. Worker slipped descending stairs. Bruised knee.
2021-08-25,Chemical Burn,Building C - Acid Storage,Morning,PPE Violation,Moderate,Splash of diluted acid during transfer operation. Worker was not wearing face shield. Minor burn on cheek.
2021-09-12,Struck By Object,Outdoor - Conveyor Area,Morning,Falling Material,Minor,Small rocks fell from conveyor belt onto worker below. Hard hat prevented injury. Belt alignment was off causing material spillage.
2021-10-03,Musculoskeletal,Building B - Packaging,Evening,Manual Handling,Minor,Worker strained lower back lifting 40kg bag without mechanical assistance. Lift assist equipment was available but not used.
